County Name,Total Population,Median Age,White Alone,Black/African American,Hispanic or Latino,Asian Alone,Median Household Income,Per Capita Income,Persons in Poverty,Unemployment Count,Total Housing Units,Median Gross Rent,Median Home Value,state,county
"Autauga County, Alabama",58761,39.0,43747,11496,1864,658,68315,35332,6630,752,24457,1199,191800,01,001
"Baldwin County, Alabama",233420,43.7,195998,19445,11210,2046,71039,38907,23445,3825,125113,1160,266000,01,003
"Barbour County, Alabama",24877,40.6,11309,11668,1202,126,39712,23378,5280,516,11673,627,102700,01,005
"Bibb County, Alabama",22251,40.3,16872,4603,650,69,50669,24966,4297,786,9046,765,120100,01,007
"Blount County, Alabama",59077,40.8,53941,729,5721,100,57440,29053,8277,1578,24677,734,159800,01,009
"Bullock County, Alabama",10328,39.2,2397,7117,907,43,36136,22115,2687,144,4541,619,87700,01,011
"Butler County, Alabama",18981,41.6,9777,8462,322,243,44429,26334,3937,548,9835,720,94800,01,013
"Calhoun County, Alabama",116162,39.2,83306,25631,4736,765,54339,28227,20267,3692,53167,806,140500,01,015
"Chambers County, Alabama",34612,42.2,19642,14114,1129,60,48805,27006,6080,559,16427,842,116900,01,017
"Cherokee County, Alabama",25069,46.8,22884,1008,479,27,46621,28422,3516,425,14687,700,158700,01,019
"Chilton County, Alabama",45140,39.9,36693,4257,3664,229,62471,28497,6422,1056,19546,814,136000,01,021
"Choctaw County, Alabama",12669,46.7,7180,5062,143,15,43299,26343,2388,249,7138,616,101600,01,023
"Clarke County, Alabama",23058,42.7,11862,10490,335,90,47549,29310,5073,1116,11733,723,126200,01,025
"Clay County, Alabama",14209,43.9,11581,1790,437,36,48074,27991,2440,315,7040,576,144100,01,027
"Cleburne County, Alabama",15144,42.2,14028,411,401,15,51553,28598,1931,152,6818,782,131900,01,029
"Coffee County, Alabama",53559,39.2,38834,8997,4500,563,62199,31227,8592,1095,24155,921,162200,01,031
"Colbert County, Alabama",57270,42.0,44698,9185,1837,214,56149,30724,8998,903,27709,810,148500,01,033
"Conecuh County, Alabama",11576,46.2,5751,5611,80,36,39888,24426,2122,171,6451,718,98800,01,035
"Coosa County, Alabama",10329,50.2,6859,3120,284,0,52279,28998,1102,178,6045,632,109500,01,037
"Covington County, Alabama",37542,42.9,31404,4606,749,218,48772,28528,6921,877,18644,701,124300,01,039
"Crenshaw County, Alabama",13205,42.3,9386,3059,335,154,48557,32396,1916,332,6553,595,100400,01,041
"Cullman County, Alabama",88284,41.4,81077,960,4056,278,58119,29788,11364,1789,39182,848,166000,01,043
"Dale County, Alabama",49455,37.7,34817,10416,3467,611,52813,28312,8469,1527,22829,829,123800,01,045
"Dallas County, Alabama",38326,40.4,10634,26467,430,240,37180,22798,10230,1445,18992,726,91600,01,047
"DeKalb County, Alabama",71680,39.6,59102,1043,11021,72,47920,24915,14251,1258,30716,684,129000,01,049
"Elmore County, Alabama",87694,38.9,64769,18276,2739,602,73258,34152,7986,1700,36787,982,200400,01,051
"Escambia County, Alabama",36755,40.5,22762,11138,940,90,41153,21758,7449,1313,16715,659,122000,01,053
"Etowah County, Alabama",103348,41.9,80555,15724,4561,748,52177,28479,16146,2847,47412,779,148400,01,055
"Fayette County, Alabama",16297,43.7,13727,2074,61,36,45650,27053,3543,672,7816,600,112700,01,057
"Franklin County, Alabama",32011,39.3,24853,1360,5892,35,47359,24874,5246,536,13940,596,121600,01,059
"Geneva County, Alabama",26647,43.6,22360,2472,1185,143,47608,25644,5480,437,12494,696,120700,01,061
"Greene County, Alabama",7706,41.1,1333,6305,24,0,32796,20862,2504,111,4271,682,88800,01,063
"Hale County, Alabama",14742,40.5,5663,8373,25,9,35851,23690,3613,450,7464,668,109400,01,065
"Henry County, Alabama",17282,44.6,12194,4375,469,96,58395,30273,2608,412,9110,678,132400,01,067
"Houston County, Alabama",107040,40.4,71260,29166,3844,987,55064,32126,18878,2403,49339,858,164900,01,069
"Jackson County, Alabama",52618,43.0,47208,1731,1685,213,46748,27695,9680,1312,24706,702,126900,01,071
"Jefferson County, Alabama",672265,37.9,338374,287203,27950,11712,63595,38224,103894,17733,308428,1086,208900,01,073
"Lamar County, Alabama",13885,44.2,11913,1527,76,23,49565,24794,2107,284,7104,495,108200,01,075
"Lauderdale County, Alabama",94329,40.8,79592,9317,2803,576,56081,32678,12188,1632,44705,773,174800,01,077
"Lawrence County, Alabama",33116,42.7,25421,3371,829,97,54786,29486,5182,423,15270,692,134200,01,079
"Lee County, Alabama",175126,33.0,120255,39363,6780,7614,59288,33083,31003,3196,75473,953,224400,01,081
"Limestone County, Alabama",104199,40.2,80040,13714,6588,1917,80146,37504,11287,2078,42616,861,229400,01,083
"Lowndes County, Alabama",10153,41.7,2493,7603,19,0,33125,23415,2552,302,4823,760,83400,01,085
"Macon County, Alabama",19198,37.8,3133,15142,453,78,41206,22449,4127,1010,9662,688,93900,01,087
"Madison County, Alabama",389781,38.5,254819,95400,20611,9675,78058,44720,40440,8515,171313,1043,242900,01,089
"Marengo County, Alabama",19180,41.7,8705,9750,542,151,42975,27210,4063,220,9834,702,98600,01,091
"Marion County, Alabama",29203,44.0,26673,1113,790,85,49743,25205,4707,800,14143,581,104300,01,093
"Marshall County, Alabama",97923,38.8,83991,2746,14751,600,58272,29509,15992,1641,41328,746,165600,01,095
"Mobile County, Alabama",413878,38.2,234657,150071,12565,8383,55352,30482,71353,11043,184845,973,164600,01,097
"Monroe County, Alabama",19816,43.7,10645,8384,44,47,39965,23090,4472,862,10214,692,109300,01,099
"Montgomery County, Alabama",228132,36.9,74723,134763,8597,7604,56707,32769,42877,7127,105488,1028,151300,01,101
"Morgan County, Alabama",123102,40.6,94056,16631,10845,605,61588,33223,16579,2407,53324,791,174800,01,103
"Perry County, Alabama",8479,41.8,2411,6004,82,7,32332,16581,2478,427,3985,560,81700,01,105
"Pickens County, Alabama",18925,42.9,10880,7506,987,10,45339,26912,3864,388,8714,578,119800,01,107
"Pike County, Alabama",32997,31.1,18678,12302,799,664,42616,26685,7242,717,16049,750,144500,01,109
"Randolph County, Alabama",22179,44.1,17068,4203,669,62,49879,27558,4277,289,12412,704,155000,01,111
"Russell County, Alabama",58849,37.2,27622,26410,3451,459,47420,25855,12816,1574,27382,908,141900,01,113
"St. Clair County, Alabama",91719,41.0,78169,8985,2325,373,73218,33571,9786,1873,38133,1044,202000,01,115
"Shelby County, Alabama",223916,40.0,174752,29118,13195,4491,90618,45701,15080,3662,89612,1272,276500,01,117
"Sumter County, Alabama",12196,35.8,3109,8813,85,57,31726,19720,3285,382,6329,770,88000,01,119
"Talladega County, Alabama",81105,42.1,51186,25893,1997,350,52457,29236,14436,2934,38088,750,131900,01,121
"Tallapoosa County, Alabama",41251,45.2,28516,10957,1010,190,53282,29682,6826,1814,22777,701,127100,01,123
"Tuscaloosa County, Alabama",231558,32.8,143889,74222,9261,3817,61645,32141,36412,6434,101330,974,218800,01,125
"Walker County, Alabama",64978,41.8,57555,3890,1868,123,52987,28204,10437,1550,30127,698,124100,01,127
"Washington County, Alabama",15434,43.7,10298,3608,261,62,51184,29210,2415,379,7779,698,138100,01,129
"Wilcox County, Alabama",10441,41.1,2876,7328,22,4,38208,20442,2735,401,5314,787,83200,01,131
"Winston County, Alabama",23655,45.4,22050,263,768,105,49494,26933,4217,452,13091,680,111600,01,133
"Aleutians East Borough, Alaska",3407,41.6,576,183,405,676,79961,42165,429,106,1089,1035,164100,02,013
"Aleutians West Census Area, Alaska",5219,39.2,1356,201,802,2123,100662,47339,478,110,1403,1672,377100,02,016
"Anchorage Municipality, Alaska",290674,34.5,172004,15469,28162,28440,95731,46554,27415,7747,118938,1405,363800,02,020
"Bethel Census Area, Alaska",18538,28.7,1678,215,399,262,64094,25859,4586,1265,6003,1408,120600,02,050
"Bristol Bay Borough, Alaska",854,36.4,387,3,74,48,94167,45499,66,12,875,1183,253400,02,060
"Chugach Census Area, Alaska",7000,37.8,5015,113,414,489,83068,44700,339,332,3760,1364,287900,02,063
"Copper River Census Area, Alaska",2614,43.1,1385,1,171,12,70606,37887,289,78,2564,877,235100,02,066
"Denali Borough, Alaska",2101,44.4,1591,48,35,73,87292,73692,150,26,1385,863,227000,02,068
"Dillingham Census Area, Alaska",4854,30.7,775,76,162,78,69412,31948,765,247,2417,1106,167700,02,070
"Fairbanks North Star Borough, Alaska",96299,32.1,68726,3979,8038,3032,81655,42744,6356,2458,42772,1360,276800,02,090
"Haines Borough, Alaska",2079,46.2,1682,0,170,68,68276,33585,121,36,1410,889,289200,02,100
"Hoonah-Angoon Census Area, Alaska",2329,50.0,1238,9,230,19,62344,39257,269,191,1708,996,243800,02,105
"Juneau City and Borough, Alaska",32108,39.0,20543,345,2300,2317,95711,49207,2176,762,14073,1464,404600,02,110
"Kenai Peninsula Borough, Alaska",59235,41.2,47151,424,2623,1021,76272,40720,7265,1971,32567,1126,280900,02,122
"Ketchikan Gateway Borough, Alaska",13910,40.6,8909,91,785,1180,82763,44368,1329,300,6615,1275,361000,02,130
"Kodiak Island Borough, Alaska",13065,35.1,6612,120,1150,2964,91138,39563,1027,373,5798,1646,355000,02,150
"Kusilvak Census Area, Alaska",8372,23.7,265,70,76,14,42663,17166,2836,647,2335,819,82200,02,158
"Lake and Peninsula Borough, Alaska",999,33.6,171,22,1,35,61607,39409,151,79,1380,933,167000,02,164
"Matanuska-Susitna Borough, Alaska",108661,36.3,86055,1392,6074,1956,86435,39201,10810,3446,50491,1242,296900,02,170
"Nome Census Area, Alaska",10018,29.1,1423,103,201,130,70121,28678,2041,746,4116,1349,181300,02,180
"North Slope Borough, Alaska",10924,36.3,3474,193,428,632,83472,61841,857,470,2625,1231,193800,02,185
"Northwest Arctic Borough, Alaska",7682,29.2,818,95,196,99,77647,32133,1405,482,2726,1386,147200,02,188
"Petersburg Borough, Alaska",3374,50.1,1948,39,306,602,77826,37856,153,77,1792,1074,279800,02,195
"Prince of Wales-Hyder Census Area, Alaska",5799,43.1,2613,22,236,80,61779,34433,879,224,3252,883,220800,02,198
"Sitka City and Borough, Alaska",8462,39.5,5269,58,626,667,95261,43964,571,230,4138,1309,424700,02,220
"Skagway Municipality, Alaska",1303,38.6,1017,40,32,29,79583,46771,81,96,631,1044,434300,02,230
"Southeast Fairbanks Census Area, Alaska",6888,36.9,5163,61,491,214,75378,33809,898,195,3537,1190,222200,02,240
"Wrangell City and Borough, Alaska",2134,48.9,1216,1,123,18,61000,35421,213,29,1350,966,273800,02,275
"Yakutat City and Borough, Alaska",564,41.3,173,12,37,114,76875,45578,56,6,420,1304,152100,02,282
"Yukon-Koyukuk Census Area, Alaska",5355,35.8,1239,10,143,72,47826,29382,1216,294,4018,906,86600,02,290
"Apache County, Arizona",66054,35.6,13556,585,4634,374,37483,18930,21058,1906,29032,635,62400,04,001
"Cochise County, Arizona",125504,41.4,89661,5001,44809,2435,58421,31423,17553,3220,59056,893,183000,04,003
"Coconino County, Arizona",144705,31.7,84752,2212,21314,2713,67266,32592,22531,5093,69233,1353,379400,04,005
"Gila County, Arizona",53419,50.6,37037,389,10276,383,55242,29945,9910,1395,32519,966,222500,04,007
"Graham County, Arizona",38453,34.1,26349,759,12885,284,64089,24052,6230,893,13755,856,178300,04,009
"Greenlee County, Arizona",9483,35.5,7158,171,4577,71,73756,29394,1208,129,4409,532,93900,04,011
"La Paz County, Arizona",16681,57.3,10593,94,4699,153,46634,30399,3435,657,13692,691,117500,04,012
"Maricopa County, Arizona",4430871,37.1,2954182,252690,1402753,189627,80675,41533,503565,108652,1821463,1437,371400,04,013
"Mohave County, Arizona",214229,52.9,178146,2422,37218,2313,53592,32835,33597,6118,118073,976,233700,04,015
"Navajo County, Arizona",107110,38.7,49409,1194,12728,418,50335,22826,26591,3647,56556,800,165600,04,017
"Pima County, Arizona",1042393,39.0,686722,36039,397081,30281,64323,36494,151733,28849,471058,1071,258300,04,019
"Pinal County, Arizona",433338,39.8,299613,19867,135346,6791,73313,33158,46424,11752,175474,1317,268900,04,021
"Santa Cruz County, Arizona",47838,37.3,24750,142,39732,65,51885,25619,9622,2074,18811,741,196700,04,023
"Yavapai County, Arizona",237830,54.5,201005,1543,36080,2480,62430,37666,28765,4900,121829,1128,354300,04,025
"Yuma County, Arizona",204374,35.3,118769,3969,133381,2254,56439,27516,34654,6773,92808,950,173500,04,027
"Arkansas County, Arkansas",17024,41.4,12112,4379,649,8,58695,28759,2816,511,8717,749,125900,05,001
"Ashley County, Arkansas",19018,43.1,13461,4725,1164,25,44804,25568,4390,421,9432,610,86600,05,003
"Baxter County, Arkansas",41801,52.1,39074,100,1118,230,47403,30264,5587,831,22747,810,155600,05,005
"Benton County, Arkansas",286528,35.7,205967,5374,49721,12068,85269,43359,22289,4194,114425,1113,254000,05,007
"Boone County, Arkansas",37662,41.9,35724,123,1089,165,52275,28886,4869,754,17354,687,158100,05,009
"Bradley County, Arkansas",10461,40.2,6370,2722,1674,6,43688,23830,1570,222,5112,636,87900,05,011
"Calhoun County, Arkansas",4773,44.2,3542,994,233,8,60237,24047,574,165,2476,808,82700,05,013
"Carroll County, Arkansas",28362,44.6,22594,103,4417,346,56826,29123,4329,383,13858,751,169700,05,015
"Chicot County, Arkansas",10234,43.2,4339,5483,628,26,36593,24156,2618,405,5131,536,88100,05,017
"Clark County, Arkansas",21469,31.7,14848,5157,1092,140,48071,24532,3812,421,10039,690,143300,05,019
"Clay County, Arkansas",14537,42.7,13720,98,116,6,44685,26554,2789,376,7514,639,85800,05,021
"Cleburne County, Arkansas",24948,49.5,23593,96,681,53,52780,31041,3469,602,15619,844,162200,05,023
"Cleveland County, Arkansas",7548,42.5,6339,992,0,0,48913,26479,1013,23,3604,673,109200,05,025
"Columbia County, Arkansas",22707,35.1,13877,8082,681,104,47441,27243,4675,301,11051,690,123200,05,027
"Conway County, Arkansas",20782,42.2,17343,2290,910,85,50282,28694,4313,681,9659,698,129600,05,029
"Craighead County, Arkansas",111038,34.4,83513,18035,6074,1357,55169,31298,20511,3225,47084,870,182600,05,031
"Crawford County, Arkansas",60593,39.2,51822,771,5155,790,56702,28920,10620,1373,25453,789,154900,05,033
"Crittenden County, Arkansas",47945,35.8,19945,24005,1424,367,51860,27834,9305,2372,21335,831,147300,05,035
"Cross County, Arkansas",16827,40.7,12275,3286,359,5,48129,27776,3357,645,7618,815,97500,05,037
"Dallas County, Arkansas",6472,45.8,3405,2856,82,4,40085,26378,723,167,3511,563,94300,05,039
"Desha County, Arkansas",11285,40.7,5365,5376,762,25,38067,21588,3044,222,5828,628,88300,05,041
"Drew County, Arkansas",17309,37.5,11655,4654,698,125,44968,27349,3513,238,8289,708,123900,05,043
"Faulkner County, Arkansas",124611,33.8,100955,14230,5488,1302,61273,31301,18478,1959,52070,931,195800,05,045
"Franklin County, Arkansas",17160,42.5,15377,96,620,140,47695,25517,3412,365,7750,684,117500,05,047
"Fulton County, Arkansas",12183,47.4,11334,23,70,4,38917,22895,1841,73,6247,649,100000,05,049
"Garland County, Arkansas",100021,45.4,84455,7924,6204,743,54229,31854,16604,2541,52383,913,166600,05,051
"Grant County, Arkansas",18022,40.2,16647,464,578,64,68598,35170,2413,267,7874,802,141400,05,053
"Greene County, Arkansas",45954,37.8,42055,1144,1433,197,54879,26941,7892,1622,19235,808,157400,05,055
"Hempstead County, Arkansas",20037,40.4,11379,6206,2722,38,45049,25577,4536,357,9663,764,104700,05,057
"Hot Spring County, Arkansas",33129,42.6,27782,3803,1249,83,50260,25486,6093,620,14247,713,119600,05,059
"Howard County, Arkansas",12779,39.7,8227,2770,1708,104,44824,25458,2301,367,6168,732,125300,05,061
"Independence County, Arkansas",37910,39.1,32862,727,2696,274,52361,27867,7124,888,16689,774,111300,05,063
"Izard County, Arkansas",13748,47.7,12189,249,370,5,46159,25331,2503,339,6764,616,110600,05,065
"Jackson County, Arkansas",16784,40.2,12770,2041,534,73,41929,23048,2957,725,7118,650,85700,05,067
"Jefferson County, Arkansas",66934,39.5,25818,37460,1590,523,46855,24571,11818,2167,30767,820,105300,05,069
"Johnson County, Arkansas",25925,39.0,22047,417,3736,782,42470,22457,5327,497,11503,710,119800,05,071
"Lafayette County, Arkansas",6277,48.3,3740,2099,221,61,40262,23699,1328,223,3948,659,70900,05,073
"Lawrence County, Arkansas",16258,39.8,15205,227,288,10,43606,25301,2791,464,7556,690,84300,05,075
"Lee County, Arkansas",8666,41.6,3663,4793,253,16,33801,20338,1964,423,3736,641,80600,05,077
"Lincoln County, Arkansas",13016,40.6,8250,3884,581,0,50526,18191,1481,149,4400,595,112500,05,079
"Little River County, Arkansas",12024,42.3,8697,2238,482,27,58627,28764,1394,436,6077,683,108200,05,081
"Logan County, Arkansas",21247,43.5,19066,336,672,388,51131,28495,3036,541,9779,693,121600,05,083
"Lonoke County, Arkansas",74292,37.0,64497,4108,3590,758,68078,32720,8680,1570,30238,944,169600,05,085
"Madison County, Arkansas",16737,41.1,13326,8,1056,167,51514,27709,2731,355,7666,718,148300,05,087
"Marion County, Arkansas",16905,51.7,15990,88,424,122,42891,25315,2970,453,9515,749,147100,05,089
"Miller County, Arkansas",42682,39.9,29222,10753,1605,148,47613,26572,8496,1348,19790,831,137700,05,091
"Mississippi County, Arkansas",40361,37.0,23530,14037,1910,164,50012,27863,8599,1848,19194,750,110000,05,093
"Monroe County, Arkansas",6787,45.8,3656,2954,0,22,41786,24117,1592,286,3864,543,84600,05,095
"Montgomery County, Arkansas",8555,50.5,7777,64,415,72,47103,26815,1527,254,5473,637,126200,05,097
"Nevada County, Arkansas",8292,44.7,5320,2798,122,13,43421,22041,2248,263,4323,773,85100,05,099
"Newton County, Arkansas",7243,48.7,6734,10,132,0,50699,26544,814,113,4124,577,160500,05,101
"Ouachita County, Arkansas",22606,43.9,12619,9275,603,8,47348,25289,4230,589,11925,723,96000,05,103
"Perry County, Arkansas",10055,44.0,9156,234,332,7,53980,26967,1526,184,4946,716,123400,05,105
"Phillips County, Arkansas",16373,39.7,5718,10189,354,93,37458,22644,4946,868,8434,719,74100,05,107
"Pike County, Arkansas",10205,43.3,9048,425,694,28,49248,28392,1745,135,5319,657,99200,05,109
"Poinsett County, Arkansas",22997,39.9,19685,988,822,5,43440,24807,4716,501,10415,642,93900,05,111
"Polk County, Arkansas",19384,44.4,17457,25,1288,34,48449,30395,3393,760,9652,730,120800,05,113
"Pope County, Arkansas",63475,36.7,54268,1576,6305,639,51678,28018,10728,1358,26940,810,152000,05,115
"Prairie County, Arkansas",8217,46.5,6970,866,171,17,47045,29018,797,152,4105,645,87200,05,117
"Pulaski County, Arkansas",398322,37.7,209994,148791,25329,8976,58326,39146,64768,10340,190782,985,187600,05,119
"Randolph County, Arkansas",18619,39.1,16846,258,456,71,45993,25528,3519,582,8587,674,110700,05,121
"St. Francis County, Arkansas",23138,38.8,9259,12369,1275,25,39822,20991,5659,562,9653,748,82400,05,123
"Saline County, Arkansas",123988,40.3,104854,10443,6733,1413,73236,36151,11688,2340,51927,948,194400,05,125
"Scott County, Arkansas",9871,42.8,8426,119,820,63,45340,23086,1677,248,4880,702,97600,05,127
"Searcy County, Arkansas",7880,46.9,6954,33,239,21,42063,22384,2054,159,4725,611,107100,05,129
"Sebastian County, Arkansas",128184,38.0,90210,7660,19387,5942,54047,32577,20818,3187,56926,805,154900,05,131
"Sevier County, Arkansas",15913,34.9,9216,752,5458,44,53567,26369,3144,330,6767,700,99200,05,133
"Sharp County, Arkansas",17422,47.4,16111,175,446,91,43332,25283,2725,411,9535,610,89900,05,135
"Stone County, Arkansas",12393,49.5,11247,17,249,47,37664,21640,2603,222,6796,669,153700,05,137
"Union County, Arkansas",38815,41.3,24439,12615,1595,299,49745,29252,7135,631,18722,775,110900,05,139
"Van Buren County, Arkansas",15900,49.7,14800,118,550,50,45768,26183,2971,265,9725,716,117900,05,141
"Washington County, Arkansas",247331,32.3,174159,8570,42812,6408,61985,34531,36258,5412,100954,935,235500,05,143
"White County, Arkansas",77118,38.3,68350,3373,3606,667,51144,27364,11867,1770,33395,793,150700,05,145
"Woodruff County, Arkansas",6259,45.2,4352,1721,31,0,49608,29216,1146,190,3289,582,96100,05,147
"Yell County, Arkansas",20342,40.0,15757,449,4290,222,55879,26044,2480,360,9293,647,128400,05,149
"Alameda County, California",1663823,38.4,565911,169497,369603,534659,122488,60193,149843,45290,622856,2229,999200,06,001
"Alpine County, California",1515,43.0,961,0,213,3,101125,55425,208,33,1617,-666666666,463900,06,003
"Amador County, California",40577,49.6,32583,706,6140,519,74853,40379,2945,1016,18813,1257,409600,06,005
"Butte County, California",213605,36.5,161779,3862,38361,11182,66085,36374,38015,7344,93069,1280,371600,06,007
"Calaveras County, California",45674,52.1,37974,450,6197,896,77526,37935,5915,1150,27521,1621,404200,06,009
"Colusa County, California",21811,36.0,13290,367,13280,164,69619,31915,2364,773,8107,1061,360100,06,011
"Contra Costa County, California",1162648,40.1,542206,101345,306895,212568,120020,59083,95255,35616,424057,2234,787300,06,013
"Del Norte County, California",27462,40.0,18969,747,5607,859,61149,28396,3585,662,11103,1146,282500,06,015
"El Dorado County, California",191713,46.2,158083,1405,25930,9945,99246,55455,16364,4244,93679,1597,597600,06,017
"Fresno County, California",1008280,32.8,483826,45035,546774,108082,67756,30130,193675,39943,339270,1207,338200,06,019
"Glenn County, California",28657,35.8,19350,102,12418,985,64033,28106,4335,1040,10914,978,295400,06,021
"Humboldt County, California",136132,39.5,102072,1866,17129,4389,57881,33988,26394,6162,62306,1191,386000,06,023
"Imperial County, California",179578,32.6,70860,4608,153382,2710,53847,21216,36092,9205,56907,961,256000,06,025
"Inyo County, California",18829,44.6,12980,181,4500,324,63417,36673,2199,426,9471,1131,325900,06,027
"Kern County, California",906883,32.2,509039,46915,501705,44904,63883,27976,170013,32872,301687,1161,282800,06,029
"Kings County, California",152515,32.1,78680,9848,85622,5943,68540,26193,22634,5352,46500,1201,281400,06,031
"Lake County, California",68024,44.5,48251,1538,15672,923,56259,34020,11065,2948,34313,1206,291300,06,033
"Lassen County, California",31873,37.2,22816,2682,6517,569,59515,23646,3645,777,12266,1038,233100,06,035
"Los Angeles County, California",9936690,37.4,3937901,780993,4837594,1473634,83411,41847,1343978,365544,3599561,1805,732200,06,037
"Madera County, California",157243,34.4,77220,4091,93855,3675,73543,28158,30154,7492,49880,1185,340300,06,039
"Marin County, California",260485,47.4,192209,6224,43143,16403,142019,87300,17809,7887,111681,2487,1291800,06,041
"Mariposa County, California",17130,51.6,14043,140,2223,230,60021,36106,2712,482,9824,1134,335900,06,043
"Mendocino County, California",91145,43.7,67114,658,24414,1961,61335,34977,14483,3811,41380,1240,463700,06,045
"Merced County, California",282290,31.5,117491,8329,174732,20601,64772,26869,51272,13272,87895,1200,342300,06,047
"Modoc County, California",8651,47.5,7196,166,1325,123,54962,28860,1430,264,4784,796,184900,06,049
"Mono County, California",13219,40.5,10437,40,3582,542,82038,43315,1478,144,13625,1259,496800,06,051
"Monterey County, California",437609,35.1,173937,9778,261954,25927,91043,37741,51913,10504,143743,1873,683700,06,053
"Napa County, California",137384,42.5,87333,2520,48182,10960,105809,54306,10620,3733,55588,2037,794500,06,055
"Nevada County, California",102322,50.2,90082,376,10202,1641,79395,46706,10505,2090,53690,1487,559700,06,057
"Orange County, California",3175227,38.7,1594137,53753,1077367,688905,109361,50683,303810,90700,1130658,2248,862900,06,059
"Placer County, California",406608,42.3,306615,6579,60469,35465,109375,54004,27446,8466,173090,1874,627100,06,061
"Plumas County, California",19650,52.3,17247,350,1959,126,67885,41701,2101,667,15436,1102,310100,06,063
"Riverside County, California",2429487,36.3,1138018,157125,1233277,166726,84505,35356,272432,77625,851646,1711,462900,06,065
"Sacramento County, California",1579211,36.8,785699,151960,378350,271712,84010,39763,204388,50165,588894,1599,465900,06,067
"San Benito County, California",64753,35.7,34864,617,39768,2078,104451,40799,4832,2127,20485,1830,703200,06,069
"San Bernardino County, California",2180563,33.9,975461,171762,1200147,169063,77423,31348,294246,73890,733104,1584,438000,06,071
"San Diego County, California",3289701,36.7,1899871,158553,1134647,397687,96974,46957,338752,106617,1230349,2011,725200,06,073
"San Francisco County, California",851036,39.3,356474,44058,131517,296122,136689,86186,87849,28177,408198,2316,1348700,06,075
"San Joaquin County, California",779445,34.8,328081,54792,331382,133870,82837,33870,98352,26331,252327,1542,462000,06,077
"San Luis Obispo County, California",281712,40.0,216354,3486,65946,10652,90158,47390,33728,6905,123968,1800,726700,06,079
"San Mateo County, California",754250,40.3,327625,17238,180393,230174,149907,77741,48137,19184,284211,2805,1441300,06,081
"Santa Barbara County, California",445213,34.3,270657,8431,207576,24327,92332,44635,57513,13414,158807,1964,714800,06,083
"Santa Clara County, California",1916831,37.7,693455,45838,476352,746381,153792,73017,129834,46592,688287,2719,1316800,06,085
"Santa Cruz County, California",268571,39.2,176572,2839,91923,13163,104409,52887,29302,8465,106433,2094,951300,06,087
"Shasta County, California",181852,41.7,148667,1758,19988,5585,68347,36458,23753,5349,79626,1232,327500,06,089
"Sierra County, California",2916,54.9,2600,7,332,0,61108,37692,359,74,2092,1184,289400,06,091
"Siskiyou County, California",44049,47.2,35233,709,5957,708,53898,33650,7289,1337,23013,984,260200,06,093
"Solano County, California",450995,38.8,207575,59699,126198,70814,97037,42886,39705,13275,162513,1981,549100,06,095
"Sonoma County, California",488436,42.7,330543,7589,136614,21833,99266,52523,42925,13543,205393,2029,748500,06,097
"Stanislaus County, California",552063,34.5,316065,15731,268427,33212,74872,32044,75125,21061,183317,1433,393300,06,099
"Sutter County, California",99101,36.0,53760,1940,31993,16490,72654,34039,13065,3483,34560,1289,375400,06,101
"Tehama County, California",65484,40.3,48781,626,17585,1236,59029,33800,10483,2038,27440,1119,290400,06,103
"Trinity County, California",15889,53.2,12828,218,1198,392,47317,32856,3457,413,8201,928,326200,06,105
"Tulare County, California",473446,31.5,240811,7695,312954,16955,64474,26282,86391,18919,151190,1137,280900,06,107
"Tuolumne County, California",54993,48.7,46316,846,7079,810,70432,40095,5887,1895,31447,1129,377700,06,109
"Ventura County, California",842009,39.0,544398,15042,367039,60951,102141,45846,74315,22989,293491,2140,719100,06,111
"Yolo County, California",217141,32.0,127655,5971,69989,32018,85097,41703,36521,5740,80533,1655,555200,06,113
"Yuba County, California",81705,33.5,52705,2906,24353,6360,66693,30036,12375,2538,29626,1137,350600,06,115
"Adams County, Colorado",520149,34.4,342214,18215,215119,20574,86297,37550,49625,13351,187811,1632,425000,08,001
"Alamosa County, Colorado",16460,32.2,11104,185,7897,356,52271,28945,2418,274,7084,815,198500,08,003
"Arapahoe County, Colorado",654453,37.1,422330,71815,132163,40210,92292,49530,51766,16928,262688,1708,480500,08,005
"Archuleta County, Colorado",13509,50.8,10759,47,2498,73,66813,39155,1092,299,9591,1184,432400,08,007
"Baca County, Colorado",3496,42.0,3159,11,422,81,42115,28115,781,26,1985,474,119700,08,009
"Bent County, Colorado",5561,40.7,3960,269,1822,14,45776,19041,1146,98,2151,778,110700,08,011
"Boulder County, Colorado",328658,37.0,272193,2802,45657,15161,99770,57339,35674,8217,141007,1828,671100,08,013
"Broomfield County, Colorado",73946,38.6,60019,984,9747,5156,117541,60862,3679,1383,31338,1923,581600,08,014
"Chaffee County, Colorado",19564,47.8,17538,207,1968,226,65703,38167,2137,562,11072,1330,514900,08,015
"Cheyenne County, Colorado",1726,43.2,1475,16,206,3,65577,38791,183,19,969,860,166300,08,017
"Clear Creek County, Colorado",9403,49.5,8481,220,742,78,87169,59550,617,277,5717,1201,506900,08,019
"Conejos County, Colorado",7553,39.1,5146,11,3870,4,44093,25240,1177,237,4043,686,154500,08,021
"Costilla County, Colorado",3534,52.8,2263,38,2116,56,34578,24318,792,87,2413,691,145200,08,023
"Crowley County, Colorado",5782,41.3,3875,239,1897,177,40685,20909,1076,124,1525,988,92700,08,025
