County Name,Total Population,Median Age,White Alone,Black/African American,Hispanic or Latino,Asian Alone,Median Household Income,Per Capita Income,Persons in Poverty,Unemployment Count,Total Housing Units,Median Gross Rent,Median Home Value,state,county
"Hamilton County, Tennessee",367193,39.7,266269,65680,22890,6947,69069,41198,43857,8377,163534,1079,250900,47,065
"Hancock County, Tennessee",6726,44.9,6507,37,47,36,31809,24120,2107,244,3666,571,112600,47,067
"Hardeman County, Tennessee",25519,40.7,13918,10135,507,99,43566,22098,3515,1332,10699,773,112700,47,069
"Hardin County, Tennessee",26824,45.5,25027,909,705,23,46902,26068,5095,360,15017,735,142300,47,071
"Hawkins County, Tennessee",57107,45.5,54099,594,1017,263,53647,28648,9511,2057,27138,737,153800,47,073
"Haywood County, Tennessee",17806,43.1,7883,8946,766,22,44890,26031,3849,676,8274,715,116900,47,075
"Henderson County, Tennessee",27845,40.7,24584,2270,753,37,51576,25873,4923,658,12901,759,139600,47,077
"Henry County, Tennessee",32305,45.7,28304,2393,916,114,48025,28098,5731,538,16976,727,141000,47,079
"Hickman County, Tennessee",24996,41.8,22741,876,719,218,54669,27764,3329,406,10503,796,163900,47,081
"Houston County, Tennessee",8253,44.1,7728,281,234,27,51544,27053,1066,145,3957,719,149200,47,083
"Humphreys County, Tennessee",19032,43.0,17358,237,517,146,54185,29561,2233,885,8867,814,175600,47,085
"Jackson County, Tennessee",11730,47.3,10982,81,284,0,42357,25534,2266,371,5833,777,126100,47,087
"Jefferson County, Tennessee",55017,44.4,51100,926,2128,321,60393,31947,5920,1453,24890,832,183800,47,089
"Johnson County, Tennessee",17982,46.2,16459,657,405,29,47571,26627,3465,294,8741,647,156400,47,091
"Knox County, Tennessee",481406,37.4,399172,39699,22896,10931,68580,39608,58167,9597,212074,1097,248200,47,093
"Lake County, Tennessee",6898,41.8,4561,1771,200,20,32064,19695,1281,128,2508,432,111900,47,095
"Lauderdale County, Tennessee",25171,38.9,15132,8654,725,77,46702,24358,4118,601,10707,694,110800,47,097
"Lawrence County, Tennessee",44377,39.0,41505,628,1128,182,51038,26865,7021,1249,18660,715,156500,47,099
"Lewis County, Tennessee",12637,42.2,11816,149,332,136,44613,26873,2339,290,5681,744,139100,47,101
"Lincoln County, Tennessee",35365,43.2,30655,2199,1363,235,61374,32016,4147,720,16002,755,186300,47,103
